Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
201000067086,0.0,7,0,0.0,2.0,7.0,1.0,C01
201200051322,0.0,32,0,0.0,1.0,7.0,2.0,A01
201000022349,0.0,32,0,0.0,2.0,3.0,1.0,B01
200800065983,0.0,7,0,0.0,1.0,1.0,1.0,A01
201000002701,0.0,30,0,0.0,2.0,1.0,1.0,B01
201300044398,0.0,7,0,0.0,2.0,4.0,23.0,C01
200600003608,0.0,7,0,0.0,1.0,1.0,1.0,A01
200800076834,0.0,7,0,0.0,2.0,1.0,1.0,A01
201200005704,0.0,7,0,0.0,2.0,3.0,13.0,A01
201100026667,0.0,31,0,0.0,2.0,7.0,1.0,A01
200600076729,0.0,7,0,0.0,2.0,0.0,11.0,A01
200600016562,0.0,10,0,0.0,2.0,2.0,19.0,A01
201100065017,0.0,7,0,3.0,2.0,1.0,1.0,A01
200500015923,0.0,7,0,0.0,2.0,7.0,15.0,A01
201100027199,0.0,33,0,0.0,0.0,4.0,16.0,B01
200700005485,0.0,7,0,0.0,2.0,4.0,0.0,B01
201400019863,0.0,7,0,0.0,0.0,4.0,2.0,B01
200500084353,0.0,7,0,0.0,2.0,1.0,21.0,A01
201000018968,0.0,7,0,4.0,0.0,4.0,21.0,C01
201600002938,1.0,33,0,0.0,2.0,2.0,2.0,A01
201100005532,0.0,7,0,0.0,2.0,1.0,1.0,B02
201500046228,0.0,7,0,0.0,0.0,4.0,1.0,B01
201100019313,0.0,30,0,0.0,1.0,1.0,16.0,A01
201300024516,0.0,7,0,0.0,9.0,4.0,1.0,B01
200500009885,0.0,7,0,0.0,0.0,2.0,13.0,A01
201200059508,0.0,7,0,0.0,2.0,2.0,1.0,A01
201000055406,0.0,7,0,0.0,2.0,5.0,1.0,B01
201100059935,0.0,2,0,0.0,2.0,2.0,1.0,A01
200500007654,0.0,7,0,0.0,0.0,0.0,1.0,A01
200500051897,0.0,5,0,0.0,2.0,3.0,9.0,A01
200600082543,0.0,7,0,0.0,0.0,8.0,1.0,B01
200500079768,0.0,7,0,0.0,2.0,5.0,15.0,A01
201300057760,0.0,7,0,0.0,1.0,1.0,1.0,A01
200600035964,0.0,7,0,0.0,2.0,2.0,1.0,B01
201400047616,0.0,7,0,0.0,2.0,2.0,17.0,A01
201100022974,0.0,7,0,0.0,1.0,2.0,1.0,A01
201600054442,0.0,10,0,0.0,2.0,4.0,23.0,B01
200800010670,0.0,7,0,0.0,2.0,1.0,1.0,E01
201600056522,1.0,34,0,0.0,2.0,2.0,17.0,A01
201100016789,0.0,33,0,0.0,2.0,1.0,2.0,A01
201100035863,0.0,33,0,0.0,0.0,1.0,12.0,A01
201400051422,0.0,10,0,0.0,0.0,1.0,2.0,B01
200900042288,0.0,7,0,0.0,1.0,1.0,1.0,A01
201600046534,2.0,7,0,0.0,2.0,5.0,2.0,A01
200700075755,0.0,7,0,0.0,2.0,1.0,1.0,B02
200600028878,0.0,7,0,0.0,1.0,4.0,4.0,A01
200500049035,0.0,7,0,0.0,2.0,8.0,0.0,A01
201400005906,0.0,31,0,0.0,2.0,2.0,1.0,B02
201300022331,0.0,7,0,0.0,2.0,1.0,1.0,B01
201200051598,0.0,7,0,0.0,2.0,0.0,10.0,A01
200700070015,0.0,1,0,0.0,2.0,8.0,0.0,B01
201100059468,0.0,13,0,0.0,1.0,2.0,14.0,A01
201100026112,0.0,10,0,0.0,2.0,1.0,1.0,A01
200500076630,0.0,4,0,0.0,2.0,1.0,1.0,B01
201200014507,0.0,7,0,0.0,1.0,0.0,4.0,A01
200900072734,0.0,7,0,0.0,2.0,3.0,1.0,A01
200600005443,0.0,14,0,0.0,2.0,1.0,2.0,A01
201400002332,0.0,7,0,13.0,0.0,2.0,1.0,A01
201100009434,0.0,7,0,0.0,2.0,2.0,2.0,A01
201000002637,0.0,7,0,0.0,2.0,8.0,1.0,A01
200900012724,0.0,33,0,0.0,1.0,3.0,16.0,A01
201100059292,0.0,30,0,0.0,2.0,1.0,17.0,A01
200700044185,0.0,10,0,0.0,2.0,4.0,1.0,A01
200700066524,0.0,7,0,0.0,1.0,1.0,1.0,A01
200500017887,0.0,7,0,0.0,0.0,4.0,1.0,A01
201400030203,0.0,7,0,0.0,9.0,1.0,1.0,A01
201400049595,0.0,7,0,0.0,2.0,1.0,16.0,B01
200600042060,0.0,33,0,5.0,0.0,8.0,17.0,A01
201400056451,0.0,7,0,0.0,2.0,8.0,15.0,A01
200700036024,0.0,7,0,0.0,2.0,1.0,1.0,A01
201000059766,0.0,7,0,0.0,2.0,5.0,2.0,B01
200600075018,0.0,33,0,0.0,0.0,0.0,0.0,A01
201100019660,0.0,7,0,0.0,2.0,1.0,0.0,A01
200900035939,0.0,1,0,0.0,2.0,1.0,1.0,A01
200900000330,0.0,33,0,0.0,2.0,7.0,1.0,B01
200500084334,0.0,7,0,0.0,1.0,1.0,1.0,A01
200700077467,0.0,7,0,0.0,1.0,3.0,1.0,A01
201100056918,0.0,10,0,0.0,2.0,1.0,0.0,B01
200800011826,0.0,14,0,8.0,0.0,1.0,0.0,A01
201300009629,0.0,7,0,0.0,2.0,1.0,15.0,B02
200700013093,0.0,34,0,1.0,2.0,1.0,1.0,C03
201600032789,1.0,7,0,0.0,2.0,8.0,1.0,A01
200800048586,0.0,14,0,10.0,0.0,7.0,1.0,A01
200800064947,0.0,13,0,0.0,1.0,2.0,0.0,B01
201600011085,1.0,7,0,0.0,2.0,1.0,5.0,A01
201000021425,0.0,3,0,0.0,1.0,4.0,1.0,A01
200900001600,0.0,1,0,0.0,2.0,8.0,15.0,A01
201400001643,0.0,21,0,13.0,0.0,7.0,1.0,A01
201400040921,0.0,7,0,0.0,2.0,1.0,1.0,A01
200700022205,0.0,2,0,0.0,2.0,0.0,1.0,A01
201000014081,0.0,7,0,0.0,2.0,5.0,10.0,A01
201400012996,0.0,10,0,0.0,2.0,4.0,2.0,C03
200900024946,0.0,7,0,0.0,0.0,4.0,23.0,C01
201100026512,0.0,7,0,0.0,2.0,1.0,1.0,B01
201600026633,1.0,7,0,9.0,1.0,1.0,1.0,A01
201000014339,0.0,10,0,13.0,0.0,1.0,1.0,A01
200700033585,0.0,7,0,0.0,2.0,8.0,15.0,B02
200600019339,0.0,5,0,0.0,2.0,3.0,0.0,B01
201400041433,0.0,7,0,0.0,2.0,3.0,6.0,A01
200500001764,0.0,7,0,6.0,0.0,3.0,1.0,A01
201400034461,0.0,2,0,0.0,2.0,1.0,1.0,B01
201500043480,0.0,7,0,0.0,2.0,3.0,15.0,B01
200700054948,0.0,7,0,0.0,2.0,8.0,1.0,B01
200900042437,0.0,30,0,0.0,2.0,8.0,18.0,B01
200900016698,0.0,7,0,0.0,1.0,1.0,1.0,A01
200500084028,0.0,7,0,0.0,9.0,3.0,15.0,A01
200900013087,0.0,15,0,0.0,1.0,2.0,1.0,A01
201500056500,0.0,7,0,0.0,2.0,4.0,2.0,B01
200600044744,0.0,14,0,3.0,0.0,3.0,1.0,A01
200900038183,0.0,7,0,3.0,2.0,8.0,17.0,A01
200800058679,0.0,7,0,0.0,2.0,2.0,1.0,A01
200900059684,0.0,7,0,0.0,2.0,1.0,19.0,A01
201100034195,0.0,36,0,7.0,0.0,7.0,0.0,A01
201300018282,0.0,30,0,0.0,0.0,4.0,2.0,B02
200500065310,0.0,14,0,0.0,2.0,1.0,0.0,A01
201300034782,0.0,7,0,0.0,1.0,1.0,0.0,A01
201500054293,0.0,33,0,0.0,2.0,8.0,1.0,A01
201000003126,0.0,33,0,0.0,2.0,1.0,1.0,B02
200700024712,0.0,7,0,14.0,0.0,1.0,2.0,B01
201300042839,0.0,7,0,0.0,2.0,7.0,15.0,A01
200700037262,0.0,7,0,4.0,0.0,8.0,1.0,A01
200800019764,0.0,7,0,0.0,2.0,1.0,2.0,B01
201500012522,0.0,33,0,0.0,0.0,0.0,21.0,B02
200700034627,0.0,32,0,0.0,2.0,8.0,1.0,B01
201200016733,0.0,2,0,0.0,0.0,0.0,0.0,B01
200500001277,0.0,7,0,0.0,2.0,4.0,23.0,B02
200600056699,0.0,1,0,0.0,1.0,1.0,1.0,A01
200500023699,0.0,7,0,0.0,2.0,1.0,1.0,B02
200500060809,0.0,2,0,0.0,2.0,1.0,1.0,A01
200900055060,0.0,40,0,0.0,2.0,1.0,1.0,B01
200600058850,0.0,7,0,2.0,0.0,1.0,13.0,A01
200800025179,0.0,7,0,0.0,2.0,2.0,15.0,A01
201200008334,0.0,7,0,0.0,2.0,5.0,2.0,B02
201100024225,0.0,7,0,0.0,2.0,1.0,1.0,B01
200600057200,0.0,5,0,1.0,1.0,1.0,21.0,A01
201100040726,0.0,7,0,0.0,1.0,3.0,15.0,A01
201200000524,0.0,17,0,0.0,0.0,8.0,1.0,B02
201500042883,0.0,7,0,0.0,9.0,5.0,23.0,B01
200900064707,0.0,7,0,0.0,1.0,1.0,1.0,A01
201500016729,0.0,33,0,0.0,2.0,1.0,1.0,B02
200600020215,0.0,7,0,0.0,0.0,4.0,1.0,B01
200600055521,0.0,1,0,0.0,2.0,8.0,2.0,B01
201600030793,0.0,7,0,0.0,1.0,4.0,4.0,A01
200700062205,0.0,7,0,0.0,2.0,8.0,15.0,B01
200500052069,0.0,7,0,0.0,2.0,6.0,4.0,B01
201300053827,0.0,32,0,0.0,2.0,7.0,17.0,B01
201000056422,0.0,17,0,6.0,0.0,1.0,14.0,A01
201300017518,0.0,33,0,16.0,0.0,1.0,1.0,A01
200600066080,0.0,7,0,0.0,2.0,3.0,15.0,A01
200600049021,0.0,7,0,0.0,2.0,1.0,0.0,A01
200600018286,0.0,7,0,6.0,0.0,1.0,1.0,A01
200700045459,0.0,7,0,0.0,0.0,0.0,0.0,B01
201100060130,0.0,7,0,0.0,2.0,4.0,1.0,B01
200900036474,0.0,7,0,0.0,2.0,1.0,1.0,B01
200500033923,0.0,7,0,0.0,2.0,4.0,0.0,D01
200600047545,0.0,2,0,0.0,2.0,6.0,17.0,A01
201100034951,0.0,33,0,0.0,2.0,1.0,1.0,B01
200700038362,0.0,7,0,0.0,0.0,4.0,1.0,B01
200700022528,0.0,2,0,0.0,2.0,1.0,1.0,B01
200900040782,0.0,34,0,0.0,1.0,1.0,1.0,A01
200500003353,0.0,5,0,0.0,2.0,8.0,1.0,B01
201200060154,0.0,31,0,0.0,2.0,4.0,2.0,A01
201400036461,0.0,7,0,0.0,2.0,4.0,16.0,C01
201200031453,0.0,7,0,0.0,1.0,2.0,9.0,A01
200500039489,0.0,7,0,13.0,0.0,9.0,1.0,A01
200700036035,0.0,7,0,0.0,2.0,1.0,1.0,A01
200700034358,0.0,33,0,0.0,2.0,1.0,0.0,B01
201600057291,2.0,33,0,0.0,2.0,2.0,3.0,B01
200800076849,0.0,33,0,0.0,2.0,1.0,1.0,A01
200500076675,0.0,7,0,0.0,0.0,4.0,23.0,B01
201200051975,0.0,10,0,0.0,2.0,3.0,1.0,A01
200500013628,0.0,7,0,0.0,2.0,1.0,5.0,A01
201100005405,0.0,7,0,0.0,2.0,8.0,17.0,B02
200900035554,0.0,7,0,0.0,2.0,2.0,2.0,A01
200500003963,0.0,7,0,0.0,9.0,2.0,15.0,A01
201200027141,0.0,7,0,0.0,2.0,3.0,1.0,B01
200800062007,0.0,7,0,0.0,2.0,4.0,2.0,B01
201500055633,0.0,30,0,0.0,2.0,2.0,17.0,B01
200800038903,0.0,7,0,0.0,2.0,2.0,1.0,A01
201500031064,0.0,7,0,0.0,0.0,0.0,0.0,A01
200700076836,0.0,7,0,0.0,2.0,2.0,1.0,B01
201300019363,0.0,7,0,0.0,0.0,8.0,15.0,A01
200800049329,0.0,2,0,0.0,2.0,1.0,1.0,B02
200700012527,0.0,10,0,0.0,2.0,3.0,1.0,A01
201600010235,1.0,33,0,0.0,2.0,9.0,2.0,A01
200700045713,0.0,33,0,0.0,2.0,7.0,1.0,B01
200700042445,0.0,2,0,0.0,2.0,1.0,1.0,A01
201100054687,0.0,7,0,0.0,2.0,6.0,11.0,B01
200700054852,0.0,7,0,0.0,2.0,2.0,1.0,A01
201600008703,2.0,7,0,0.0,2.0,1.0,13.0,A01
200800038790,0.0,7,0,0.0,2.0,1.0,1.0,A01
200700016766,0.0,7,0,1.0,0.0,2.0,2.0,A01
200600044393,0.0,7,0,0.0,2.0,8.0,15.0,B02
201600020413,2.0,7,0,7.0,0.0,3.0,14.0,A01
200700019479,0.0,2,0,0.0,2.0,3.0,15.0,B02
201100017658,0.0,15,0,0.0,2.0,6.0,17.0,A01
200500066742,0.0,7,0,0.0,2.0,7.0,15.0,A01
201500022533,0.0,30,0,0.0,2.0,1.0,0.0,B01
200800073365,0.0,7,0,0.0,2.0,0.0,2.0,C01
200900015627,0.0,17,0,0.0,2.0,5.0,17.0,B02
201000056450,0.0,7,0,0.0,2.0,1.0,2.0,C01
201600016251,0.0,33,0,0.0,2.0,1.0,2.0,A01
200500039252,0.0,7,0,0.0,2.0,1.0,15.0,B02
200700036863,0.0,7,0,0.0,2.0,2.0,12.0,A01
200600014593,0.0,5,0,0.0,2.0,8.0,2.0,B01
200500016109,0.0,7,0,0.0,2.0,1.0,2.0,A01
200600007622,0.0,10,0,0.0,2.0,2.0,12.0,B01
200700076296,0.0,7,0,0.0,0.0,5.0,23.0,B01
200800043107,0.0,7,0,0.0,1.0,2.0,1.0,A01
