Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201100065724,11,4,11,1804,5,1,1,1.0,4.0,13.0,"RN, GRAND BAIE ( RN4)",,,,971
201200001975,12,7,15,2000,1,1,2,1.0,3.0,149.0,le trésor,M,0.0,0,440
201300004243,13,9,5,1815,1,1,1,1.0,1.0,112.0,,M,0.0,0,820
200700043000,7,7,31,1723,1,2,1,1.0,4.0,202.0,"1, OCCITANIE (AVENUE DE",,,,360
200900010164,9,1,5,750,5,2,1,4.0,7.0,660.0,NATIONALE(RUE)R.SCHOENEC,,,,570
200700048917,7,8,11,1410,1,2,1,1.0,1.0,55.0,ROSIERS (TRAVERSE DES),,,,130
201600000588,16,7,25,1800,1,2,1,1.0,3.0,624.0,"545, R ROBERT LEFRANC",M,4987750.0,122917,760
201100064884,11,10,20,1500,1,2,1,1.0,2.0,117.0,PORTE D ASNIERES,,,,750
201100066834,11,5,19,640,2,2,3,1.0,3.0,16.0,"SANS, HUBERT DE LISLE(BO",,,,974
200500046703,5,7,29,1550,1,1,1,1.0,6.0,62.0,"IGNORE, QUATRE (CHEMIN)",,,,830
201100001761,11,5,22,915,1,1,1,1.0,1.0,136.0,,M,0.0,0,220
201000013043,10,11,3,1900,5,2,1,1.0,3.0,150.0,avenue Chassefières,M,4335700.0,352600,340
201000001385,10,6,1,1900,1,1,1,2.0,1.0,278.0,,M,4889960.0,145223,270
200800044959,8,8,3,1630,1,2,2,1.0,3.0,149.0,"219, GRANDE RUE",,,,690
200800064702,8,11,16,1630,1,2,1,2.0,2.0,99.0,"181, TROIS PROVINCES (AV",,,,490
201200053301,12,11,5,650,2,1,1,1.0,6.0,5.0,A50-SENS AUBAGNE*VERS MA,M,4328740.0,554037,130
200700047145,7,8,24,945,1,1,1,1.0,1.0,276.0,,M,4545800.0,156400,190
201600023621,16,1,26,1550,1,2,1,1.0,3.0,281.0,"36, AVE MARCEL DASSAULT",M,4484790.0,-68652,330
201000062475,10,8,22,857,1,2,1,1.0,6.0,111.0,"109, BOULEVARD DE MENILM",,,,750
200800070673,8,12,19,1310,1,2,2,1.0,6.0,366.0,"11, SAINTE ANNE (BOULEVA",,,,140
200700075887,7,12,4,1030,1,2,1,1.0,6.0,80.0,avenue Foch,M,4473400.0,385700,480
201400003082,14,2,21,1515,1,1,1,9.0,1.0,126.0,,M,4649400.0,78600,860
201200012677,12,7,20,430,3,1,1,1.0,2.0,202.0,,M,4683200.0,165271,360
200700064163,7,10,14,225,5,2,1,1.0,6.0,599.0,"1, HAVRE (QUAI DU)",,,,590
201400027390,14,7,25,1655,1,2,1,3.0,6.0,218.0,"32, MICHELET A PARTIR N?",M,4543471.0,438960,420
200700042313,7,7,2,1830,1,2,6,1.0,3.0,15.0,"0, SAINTES (RUE DE)",,,,160
200900029544,9,6,22,2330,3,1,6,1.0,7.0,19.0,,M,4.0,0,840
201200053699,12,9,30,1940,5,2,1,1.0,3.0,109.0,"29, BOULEVARD HAUSSMANN",,,,750
200700002098,7,1,23,1730,1,2,1,8.0,4.0,55.0,LÉON BANCAL (RUE),,,,130
200900048436,9,8,10,1240,1,2,9,1.0,6.0,109.0,"00, BOULEVARD SALVADOR A",,,,440
201200030884,12,12,8,1035,1,2,2,1.0,3.0,395.0,"43, FOCH (AVENUE 2 A 16/",M,4868751.0,617062,540
201000014268,10,7,19,715,1,1,1,1.0,1.0,144.0,,M,4877000.0,289000,770
200600026130,6,5,26,2043,1,2,9,1.0,3.0,56.0,OUEST BOULEVARD,,,,250
200900007899,9,4,23,2330,3,1,1,1.0,6.0,232.0,LD LA SABOTIï¿½RE/LA FORGE,M,4.0,0,360
201400010142,14,2,19,1230,1,2,1,1.0,3.0,123.0,"550, VESPINS ROUTE DES",,,,60
200500014109,5,3,5,1600,1,2,1,1.0,3.0,88.0,"0, SEMARD (BD PIERRE)",,,,60
200600026475,6,5,18,1320,1,2,2,2.0,3.0,63.0,RUE ESPRIT-DES-LOIS,,,,330
200800039264,8,7,26,410,5,2,1,1.0,1.0,63.0,QUAI DE BRIENNE,,,,330
200500012005,5,2,3,1845,3,1,1,1.0,5.0,196.0,,M,4379800.0,332700,340
200700000226,7,1,27,1215,1,2,1,1.0,6.0,105.0,rue Pasteur,M,4851400.0,-407200,290
201400031734,14,10,6,2130,3,1,1,2.0,7.0,65.0,RD 917,M,5040058.0,282493,620
201200026646,12,4,25,725,1,2,3,3.0,4.0,281.0,"00, MERMOZ (BOULEVARD JE",,,,350
201400003370,14,1,30,800,2,1,1,2.0,5.0,61.0,,M,0.0,0,790
200800042376,8,7,31,1026,1,2,1,1.0,3.0,115.0,PLACE DES CINQ MARTYRS D,,,,750
200900059311,9,9,24,630,5,2,2,1.0,3.0,381.0,CAPUCINS (DES),,,,690
200800014125,8,3,5,2215,5,2,3,1.0,3.0,55.0,"48, JEAN LOLIVE (AVENUE)",,,,930
201400059374,14,6,7,8,3,2,1,1.0,5.0,7.0,ROUTE NATIONALE N? 1,R,0.0,0,974
201000003265,10,8,20,145,3,1,1,1.0,2.0,129.0,,M,4742300.0,-212400,440
201500041706,15,7,26,1550,1,1,1,2.0,2.0,78.0,SAUSSET (AVENUE DU),,,,930
201600044705,16,3,25,2115,3,1,1,1.0,6.0,44.0,RN406.W,M,4875740.0,247612,940
200800054738,8,9,25,1155,1,2,2,1.0,2.0,440.0,PAUL RAOULT (AVENUE),,,,780
200900047769,9,11,30,1045,1,2,1,1.0,7.0,306.0,"0, CLEMENCEAU  GEORGES (",,,,170
201300040120,13,10,4,2000,5,2,1,1.0,2.0,51.0,"125, GENERAL KOENIG (BOU",,,,920
200800041929,8,7,23,40,5,2,1,1.0,6.0,389.0,"0, PLACE DU PORT MOUTON",,,,690
200700008615,7,2,28,1010,1,2,3,1.0,3.0,63.0,RUE BERTRAND DE GOTH,,,,330
200800056419,8,10,16,1715,1,1,1,1.0,2.0,100.0,,M,4848400.0,283900,770
200500073500,5,11,24,1930,5,2,3,2.0,3.0,69.0,RUE MOLIERE,,,,330
201400038974,14,2,16,2310,5,2,3,1.0,2.0,4.0,"NS, DOCTEUR DERVAUX  ( Q",,,,920
201000037922,10,5,14,1200,1,2,1,1.0,6.0,456.0,"9, JULES GUESDE(RUE)",,,,590
201600033329,16,7,7,1430,1,2,1,1.0,6.0,153.0,8 BD SCHNEIDER,M,4680660.0,442817,710
201400003528,14,5,9,1630,1,2,1,1.0,3.0,232.0,ave du président kennedy,M,4376095.0,130001,310
201400044790,14,12,17,930,1,2,1,2.0,6.0,38.0,"15, PAUL VAILLANT COUTUR",,,,940
201600047728,16,8,26,2012,1,1,1,1.0,3.0,617.0,AUTOROUTE A5A,M,4863244.0,253583,910
200700068485,7,11,2,1856,3,1,1,1.0,1.0,102.0,ANGOULEME,,,,240
200500067351,5,10,12,1800,1,2,1,1.0,7.0,122.0,"., HAGET HENRI (AVENUE)",,,,640
