Num_Acc,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh
201400011618,1.0,1,1,2,3.0,11.0,0.0,0.0,0.0,1973.0,B01
200700011832,1.0,1,4,1,1.0,11.0,0.0,0.0,0.0,1962.0,C01
201400023194,1.0,1,1,2,0.0,11.0,0.0,0.0,0.0,1959.0,A01
200600059945,1.0,1,3,1,4.0,11.0,0.0,0.0,0.0,1987.0,A01
200600047964,1.0,1,4,1,0.0,21.0,0.0,0.0,0.0,1974.0,A01
201000006702,1.0,1,1,1,,11.0,,,,1978.0,A01
200600011947,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1988.0,A01
200700027591,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1952.0,A01
201300013691,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1998.0,B01
201400005856,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1947.0,D04
201600020483,1.0,1,1,1,0.0,11.0,0.0,0.0,0.0,1951.0,A01
200800042471,1.0,1,4,1,4.0,11.0,0.0,0.0,0.0,1982.0,A01
200900065964,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1930.0,A01
200700053845,5.0,2,4,1,0.0,11.0,0.0,0.0,0.0,2001.0,A01
201100017625,1.0,1,1,1,4.0,1.0,0.0,0.0,0.0,1958.0,B02
200500026797,1.0,1,1,2,5.0,11.0,0.0,0.0,0.0,1984.0,A01
201000008469,3.0,2,4,2,0.0,11.0,0.0,0.0,0.0,1980.0,B02
200600024812,1.0,1,3,2,4.0,11.0,0.0,0.0,0.0,1967.0,B02
200700022544,1.0,1,4,1,1.0,21.0,0.0,0.0,0.0,1990.0,A01
201500004115,2.0,2,4,1,0.0,21.0,0.0,0.0,0.0,1995.0,B02
201100005103,1.0,1,2,1,5.0,21.0,0.0,0.0,0.0,1969.0,A01
200900001663,1.0,1,4,2,5.0,13.0,0.0,0.0,0.0,1968.0,B01
200500015329,0.0,3,4,2,9.0,0.0,4.0,3.0,1.0,1988.0,A01
200500016019,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1955.0,B01
200500084485,1.0,1,1,2,1.0,11.0,0.0,0.0,0.0,1976.0,A01
201500019256,1.0,1,1,2,1.0,11.0,0.0,0.0,0.0,1970.0,A01
200600030310,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,,B02
201400037982,1.0,1,1,2,0.0,13.0,0.0,0.0,0.0,1966.0,A01
201400002879,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1954.0,A01
200900003727,1.0,1,1,2,9.0,11.0,0.0,0.0,0.0,1984.0,D01
201500001657,2.0,2,3,1,0.0,11.0,0.0,0.0,0.0,1960.0,A01
200700074521,2.0,2,1,1,0.0,11.0,0.0,0.0,0.0,1979.0,C03
201200007729,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1956.0,B02
